Timestamp,Drink_preference,Age_group,Money_drinks,Hours_sleep
4/10/2025 16:48:58,Boba,Younger than 30,20,6
4/10/2025 16:59:18,Coffee,30 or older,5,7
4/10/2025 17:10:57,Boba,30 or older,45,8
4/10/2025 17:49:15,Boba,Younger than 30,85,5
4/10/2025 17:56:52,Boba,30 or older,7,5
4/10/2025 17:58:11,Coffee,Younger than 30,10,8
4/10/2025 18:01:07,Coffee,30 or older,15,7
4/10/2025 18:01:57,Boba,30 or older,20,9
4/10/2025 18:02:11,Coffee,30 or older,10,7
4/10/2025 18:03:19,Boba,30 or older,0,7
4/10/2025 18:03:23,Boba,30 or older,20,7
4/10/2025 18:08:39,Coffee,30 or older,5,8
4/10/2025 18:11:17,Boba,30 or older,0,7
4/10/2025 18:11:58,Coffee,30 or older,15,7
4/10/2025 18:23:02,Coffee,30 or older,0,7
4/10/2025 18:25:33,Boba,Younger than 30,0,7
4/10/2025 18:33:44,Coffee,Younger than 30,15,6
4/10/2025 18:37:11,Boba,30 or older,6,6
4/10/2025 18:53:47,Coffee,Younger than 30,22,5
4/10/2025 18:55:35,Coffee,Younger than 30,20,7
4/10/2025 18:56:22,Coffee,Younger than 30,25,7
4/10/2025 18:58:55,Coffee,Younger than 30,20,9
4/10/2025 18:59:23,Boba,Younger than 30,15,6
4/10/2025 18:59:38,Boba,Younger than 30,30,10
4/10/2025 19:00:31,Boba,Younger than 30,8,6
4/10/2025 19:02:52,Boba,Younger than 30,20,5
4/10/2025 19:10:31,Boba,30 or older,0,7
4/10/2025 19:11:50,Boba,Younger than 30,10,8
4/10/2025 19:19:13,Boba,Younger than 30,7,10
4/10/2025 19:33:24,Coffee,30 or older,11.5,7
4/10/2025 19:42:29,Boba,Younger than 30,25,6
4/10/2025 20:25:30,Coffee,30 or older,10,5
4/10/2025 20:26:43,Boba,Younger than 30,12,8
4/10/2025 20:27:12,Coffee,Younger than 30,0,8
4/10/2025 20:28:39,Boba,Younger than 30,0,8
4/10/2025 20:38:00,Coffee,Younger than 30,0,6
4/10/2025 21:17:52,Coffee,30 or older,5,7
4/10/2025 21:59:15,Boba,30 or older,0,6
4/10/2025 22:01:48,Coffee,30 or older,0,5
4/10/2025 22:16:27,Boba,30 or older,15,5
4/10/2025 22:19:12,Boba,Younger than 30,20,13
4/10/2025 22:20:20,Boba,Younger than 30,25,6
4/10/2025 22:20:27,Boba,Younger than 30,4,7
4/10/2025 22:22:27,Boba,Younger than 30,0,5
